state_county_combined_fips,STNAME,CTYNAME,SUM_of_TOT_POP,SUM_of_TOT_MALE,SUM_of_TOT_FEMALE,SUM_of_WA_MALE,SUM_of_WA_FEMALE,SUM_of_BA_MALE,SUM_of_BA_FEMALE,SUM_of_IA_MALE,SUM_of_IA_FEMALE,SUM_of_AA_MALE,SUM_of_AA_FEMALE,SUM_of_NA_MALE,SUM_of_NA_FEMALE,SUM_of_TOM_MALE,SUM_of_TOM_FEMALE,SUM_of_H_MALE,SUM_of_H_FEMALE,SUM_of_HWA_MALE,SUM_of_HWA_FEMALE,SUM_of_HBA_MALE,SUM_of_HBA_FEMALE,SUM_of_HIA_MALE,SUM_of_HIA_FEMALE,SUM_of_HAA_MALE,SUM_of_HAA_FEMALE,SUM_of_HNA_MALE,SUM_of_HNA_FEMALE,SUM_of_HTOM_MALE,SUM_of_HTOM_FEMALE,SUM_of_NH_FEMALE,SUM_of_NH_MALE,SUM_of_NHWA_MALE,SUM_of_NHWA_FEMALE,SUM_of_NHBA_MALE,SUM_of_NHBA_FEMALE,SUM_of_NHIA_MALE,SUM_of_NHIA_FEMALE,SUM_of_NHAA_MALE,SUM_of_NHAA_FEMALE,SUM_of_NHNA_MALE,SUM_of_NHNA_FEMALE,SUM_of_NHTOM_MALE,SUM_of_NHTOM_FEMALE
01001,Alabama,Autauga County,55601,26995,28606,20859,21801,5153,5762,121,146,301,380,33,29,528,488,860,789,702,642,79,81,16,8,4,7,13,6,46,45,27817,26135,20157,21159,5074,5681,105,138,297,373,20,23,482,443
01003,Alabama,Baldwin County,218022,105657,112365,92471,97830,9400,10092,886,798,933,1575,73,73,1894,1997,5302,4829,4742,4358,167,174,140,83,21,14,24,11,208,189,107536,100355,87729,93472,9233,9918,746,715,912,1561,49,62,1686,1808
01005,Alabama,Barbour County,24881,13133,11748,6410,5799,6370,5672,97,67,52,61,30,16,174,133,584,480,460,393,44,47,51,28,0,0,11,8,18,4,11268,12549,5950,5406,6326,5625,46,39,52,61,19,8,156,129
01007,Alabama,Bibb County,22400,11921,10479,8762,8449,2954,1816,48,50,19,34,22,4,116,126,335,253,281,222,26,13,3,9,1,0,17,3,7,6,10226,11586,8481,8227,2928,1803,45,41,18,34,5,1,109,120
01009,Alabama,Blount County,57840,28500,29340,27307,28149,507,443,195,183,82,103,44,26,365,436,2939,2597,2759,2442,62,42,46,34,12,12,30,19,30,48,26743,25561,24548,25707,445,401,149,149,70,91,14,7,335,388
01011,Alabama,Bullock County,10138,5527,4611,1615,1046,3749,3419,40,45,7,12,40,36,76,53,424,383,257,253,73,45,32,29,1,5,37,34,24,17,4228,5103,1358,793,3676,3374,8,16,6,7,3,2,52,36
01013,Alabama,Butler County,19680,9165,10515,4899,5384,3962,4877,38,36,160,99,5,5,101,114,156,141,99,97,37,33,2,3,6,3,1,0,11,5,10374,9009,4800,5287,3925,4844,36,33,154,96,4,5,90,109
01015,Alabama,Calhoun County,114277,54914,59363,41758,44268,11230,12923,317,300,435,667,62,64,1112,1141,2312,2157,1911,1807,180,146,74,75,18,19,11,12,118,98,57206,52602,39847,42461,11050,12777,243,225,417,648,51,52,994,1043
01017,Alabama,Chambers County,33615,16093,17522,9291,9891,6253,7193,55,48,279,167,10,5,205,218,476,385,318,298,95,51,18,7,15,5,6,1,24,23,17137,15617,8973,9593,6158,7142,37,41,264,162,4,4,181,195
01019,Alabama,Cherokee County,26032,12896,13136,11983,12234,572,537,89,83,33,55,5,3,214,224,225,197,191,166,1,4,12,12,1,5,4,3,16,7,12939,12671,11792,12068,571,533,77,71,32,50,1,0,198,217
01021,Alabama,Chilton County,44153,21668,22485,18888,19571,2216,2363,129,121,87,128,48,29,300,273,1950,1550,1698,1377,106,72,52,39,9,11,40,23,45,28,20935,19718,17190,18194,2110,2291,77,82,78,117,8,6,255,245
01023,Alabama,Choctaw County,12841,6070,6771,3587,3756,2418,2937,14,10,7,16,0,0,44,52,66,68,50,52,13,11,1,0,0,3,0,0,2,2,6703,6004,3537,3704,2405,2926,13,10,7,13,0,0,42,50
01025,Alabama,Clarke County,23920,11328,12592,6191,6590,4925,5749,53,73,46,58,4,1,109,121,172,154,123,98,33,38,8,9,2,2,0,0,6,7,12438,11156,6068,6492,4892,5711,45,64,44,56,4,1,103,114
01027,Alabama,Clay County,13275,6492,6783,5431,5615,892,976,29,43,16,16,0,0,124,133,217,183,193,163,19,13,2,4,2,2,0,0,1,1,6600,6275,5238,5452,873,963,27,39,14,14,0,0,123,132
01029,Alabama,Cleburne County,14987,7421,7566,7070,7164,201,240,34,40,10,23,10,1,96,98,205,167,180,147,4,7,6,4,2,0,9,1,4,8,7399,7216,6890,7017,197,233,28,36,8,23,1,0,92,90
